Ticker,R2_Score,RMSE,MAPE,SMAPE,Forecasted_1Y_CAGR,Historical_5Y_CAGR
BAJAJ-AUTO.NS,0.9568,215.41,2.2,2.23,-2.04,24.71
HAVELLS.NS,0.9379,41.32,1.89,1.89,-1.38,22.18
GRASIM.NS,0.9686,34.62,1.09,1.09,-1.11,36.22
ONGC.NS,0.8854,7.58,2.55,2.6,-0.56,32.62
VBL.NS,0.943,13.96,2.1,2.12,1.64,54.25
SHREECEM.NS,0.9434,523.92,1.53,1.53,-1.18,7.79
INDUSINDBK.NS,0.9626,55.66,4.03,4.14,-9.79,9.82
BHARTIARTL.NS,0.9731,37.86,1.83,1.86,0.33,29.61
SRF.NS,0.9379,75.91,2.14,2.11,1.6,33.12
NESTLEIND.NS,0.9415,33.55,1.06,1.07,-0.35,7.45
IOC.NS,0.9542,3.65,1.92,1.94,0.11,28.95
PIDILITIND.NS,0.916,44.36,1.1,1.1,-0.96,16.89
HINDZINC.NS,0.9594,19.27,3.19,3.21,-5.06,27.74
TECHM.NS,0.9541,37.36,1.85,1.83,0.0,18.67
NTPC.NS,0.9559,6.54,1.66,1.68,0.83,37.19
LTIM.NS,0.9545,126.75,2.06,2.08,-1.82,17.95
BRITANNIA.NS,0.9705,78.17,1.11,1.11,-1.68,10.53
M&M.NS,0.9846,50.3,1.48,1.5,-0.81,41.24
SBICARD.NS,0.9709,14.98,1.51,1.51,1.33,2.32
TATACONSUM.NS,0.9307,23.07,1.77,1.79,0.37,21.29
SIEMENS.NS,0.9825,214.19,2.95,2.8,-9.5,22.25
TATASTEEL.NS,0.8029,5.45,3.04,3.07,-2.41,39.3
AMBUJACEM.NS,0.9584,10.63,1.34,1.35,-4.94,25.37
BAJFINANCE.NS,0.9506,22.32,2.22,2.2,-0.58,22.89
TVSMOTOR.NS,0.8511,101.59,3.65,3.73,-0.21,48.09
ADANIGREEN.NS,0.9803,59.98,3.26,3.27,-8.22,24.21
